,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
119,RCG4J7DPGY7JO,5,19,20,N,Y
120,R1TAHMJ0NOXWR9,5,166,186,N,Y
121,R2QLZFXD4XK7UY,5,128,131,N,Y
122,R2K1WXZY4BM58G,5,37,42,N,Y
123,R2W40ZIPRR0REU,5,33,36,N,N
124,R102DGRZ88M2GY,1,30,30,N,Y
125,R33RVJKSJTS6NW,5,37,39,N,N
126,RMDB5MINWRJMJ,5,209,218,N,N
127,R21NRE6JPQX0DN,1,34,35,N,Y
128,RY43RFME7AIPZ,5,46,59,N,N
129,ROCPAGEHRYZVQ,5,51,51,N,Y
130,R26TM839NO1A9H,1,24,34,N,Y
131,R34IKCNTYB5EQY,5,19,20,N,Y
132,R3TI1WP9D0XP1F,5,21,22,N,Y
133,RNCFDOL678LPW,5,30,30,N,Y
134,RB6ZHY5X8KA7R,1,51,52,N,Y
135,R3QBM3YUB9NW3G,4,46,48,N,Y
136,R25IKKZL9Q1HDH,5,122,123,N,Y
137,R14LJYVQI7GQEF,5,20,22,N,Y
138,R4DQ4MLK6B0JN,5,47,51,N,Y
139,RZ0NIF3OKX3MR,5,21,21,N,Y
140,R1D3XE4XKC3PT,2,34,38,N,Y
141,RK24Q7FD4TSGK,5,22,25,N,Y
142,R2Q49TDYUKK8KS,5,105,158,N,Y
143,R1U17T3CVIL1AR,5,27,33,N,Y
144,R1DZLFJXULTPVG,1,82,94,N,Y
145,R292EPKZST3VEB,5,64,71,N,N
146,RVA4JYXQ3VF8W,1,38,39,N,Y
147,R1RY47HEU0H0Z9,5,69,78,N,Y
148,RE4RFUCETMBVP,1,78,88,N,Y
149,R170KGFUYPA8SR,5,24,25,N,Y
150,R3URYFCJKNBO86,4,73,78,N,Y
151,R1H1VTAPMTGP95,4,105,108,N,Y
152,R20YF2BHCFKAD,5,17,20,N,N
153,R38RF6VI0WUIZ4,5,19,20,N,Y
154,R2ZIY7XUDF63OF,4,28,29,N,N
155,R15HCTAQ90635Q,5,46,47,N,Y
156,REPGXFUR14MQX,5,42,54,N,N
157,R3QDI539WTXKE2,5,26,32,Y,N
158,R3OPKVB1YZ13OB,1,28,37,N,Y
159,R37ETCMK1NQSDJ,5,238,250,N,Y
160,R3TDKT95RLMWG2,2,25,27,N,Y
161,R2DCZQ0R60TN3U,5,18,20,N,Y
162,R39C62DYHXKD86,5,370,380,N,Y
163,R14DF3E40OIUFO,2,23,27,N,Y
164,R3USRU10QRGYFF,5,37,37,N,Y
165,R4KJMCPCHOWNM,2,39,42,N,Y
166,R3B5P5GLSTK24X,5,33,33,N,N
167,RW970YPKX6ISB,1,26,31,N,Y
168,RMEZJTPDWXWRS,5,54,61,N,N
169,RL010RYVT3RSJ,2,56,63,N,Y
170,R10PNY7I1EPUA2,5,29,29,N,Y
171,RQTPWY6ND2NRV,4,37,37,Y,N
172,R25VSSWJEV6Q7T,5,20,22,N,Y
173,R1YBCU87WCV0Q0,5,22,23,N,Y
174,R2C2UUWMN8GTDR,5,34,36,N,Y
175,R370GIYXFL2N3,1,16,22,N,Y
176,RATCO7QX7RR9J,1,21,28,N,N
177,RB0VUAK4R1MOZ,1,40,44,N,Y
178,R21JXUEV44KNM6,5,25,30,N,Y
179,R19N5EBO00W5MM,5,124,125,N,Y
180,R2QEBR1E7SN7LC,5,49,50,N,Y
181,R197O4WMZRVEN0,5,20,20,N,Y
182,RZYHACO3T01Y3,5,20,21,N,Y
183,R1K890I3JDWC0,2,31,41,N,Y
184,R1UFM4ZI0O1YUQ,4,147,170,N,N
185,R12U7HDR7MZGBB,1,18,21,N,Y
186,R1MSH3N0X6SQHO,5,31,35,N,Y
187,R34PMTNPSG7DAZ,5,29,29,N,Y
188,R2QTRVHY633AZH,2,44,56,N,Y
189,RBOERLSLU626M,5,24,26,N,Y
190,R38BS5M16MI3TZ,3,49,64,N,N
191,R1LHPR0BOF5GTD,5,18,20,N,Y
192,RVHG2OTIQ6MV,5,43,45,N,N
193,R1CZVSKBVSP5IZ,4,32,43,N,Y
194,R1N7NBZIKW6ELD,3,54,66,N,Y
195,R2MMN2W8TSQ7E6,1,15,23,N,Y
196,R3SIBJN856AH78,5,15,20,N,N
197,R1ASZX1N87IXDQ,5,36,41,N,Y
198,R2JP9R1V46ZDV2,3,19,20,N,Y
199,RZZ3QGG8X0R0Z,4,36,39,N,Y
200,R3J3BWK2O99OVI,5,17,21,N,N
201,R2H9L3FVGSWUU4,5,87,97,N,Y
202,RXAW572VE5P4L,5,32,33,N,N
203,R319TP4UNJNYDC,2,35,42,N,Y
204,R2GK4EYJ33P5I3,3,24,26,N,Y
205,R34FEYC3WEA1F3,5,22,23,N,N
206,R1Z1SM67OZX3VA,5,19,22,N,Y
207,R1HCBM2B1UU084,1,29,35,N,Y
208,ROQ92JFH0H2E4,3,31,34,N,N
209,R2SOJ0IMY4YKLN,3,32,33,N,Y
210,R20RJNDPZZ929E,5,72,78,N,Y
211,R1M7CFSEM8WYFG,2,47,55,N,Y
212,R3H3HRWIIGD9DE,5,107,116,N,N
213,R4JZ48SOXEDX8,5,37,38,N,Y
214,R2JM139VL72OFP,5,18,20,N,N
215,RQZSTE0KOBY2G,4,98,109,Y,N
216,R2DMVHL7JSYP0N,1,42,56,N,N
217,R3LWIO468BNA16,5,42,45,N,Y
218,RSJHHXKGAYABP,5,47,49,N,N
219,R3SGXWYT56C42F,1,27,31,N,Y
220,R3POCS2W51P2ZX,1,14,20,N,Y
221,R3NFGX37YO7KE9,5,103,107,N,Y
222,R3BO2U3AK2DBNU,2,78,80,N,Y
223,R1C08PSH8H9R13,1,33,36,N,Y
224,RB2KJI4D1GY7E,2,49,56,N,N
225,R2W259QFG4B16G,5,19,20,N,N
226,R1A0LABQVRXWZJ,5,18,20,N,Y
227,RLD3YXGRHB4CI,3,33,39,N,Y
228,R94ADYD4P26OC,4,24,31,N,Y
229,R3A3WKPIIN151K,4,23,23,N,N
230,R1JCC04S8W2VEZ,3,20,25,N,Y
231,RE5KO6IUL9J3S,5,38,48,N,Y
232,R1ZMN6YI16GG4V,5,2506,2720,N,Y
233,R2NNA2TPHPVSEF,5,64,79,N,Y
234,R1HSP0T5A087XP,5,27,30,N,N
235,R35A0BCR8VX9RR,1,33,36,N,N
236,R2FT7GMD26Q9R3,5,98,143,N,Y
237,RJFEQY79XOIKI,5,46,49,N,N
238,RU6HF3DU862DM,5,21,22,N,N
239,R1X27CC4OBZXOD,4,16,20,N,N
240,R2XCBO20NU9XDE,1,25,27,N,Y
241,ROJV68W4AZVII,5,43,48,N,N
242,R28PJ6R32080HN,5,14,20,N,N
243,R16F8TAHU2JLUY,4,505,582,N,N
244,RDHYSOL1KMNVY,3,283,291,N,N
245,R2A3BK7IXB7WTS,5,20,20,N,Y
246,R14XD7TBEKSJ6X,5,17,20,N,Y
247,RO29XJ61YIJ7,4,18,22,N,Y
248,RA5PDZDWSM2NV,3,21,37,N,Y
249,RF2RNZEJO0K1N,4,23,26,Y,N
250,R3OY61H47A24A4,5,62,64,N,Y
251,R1H0SIVO45ZFW7,5,24,25,N,Y
252,R3TPIQQ4GQB9W6,3,18,23,N,Y
253,RTM6A1OOPTMYS,5,17,21,N,Y
254,R3LYM4Y7PR69SW,4,20,21,N,Y
255,R1J4R4B8UHG1ZM,5,33,34,N,N
256,R2SHOIQ0SYJ4EU,5,31,38,N,Y
257,R121XYUKDX8SDW,1,48,61,N,N
258,R1A0XLG48NO541,4,29,29,N,N
259,R3PV6U6R3XSU47,5,38,47,N,Y
260,R3Q65Q1PM16APM,5,35,36,N,N
261,R15JOQB76IJMRC,4,18,20,N,N
262,R1RXA5ZU1YEIHW,5,180,191,N,Y
263,RBMPUMPCMS2TL,5,27,28,N,Y
264,R5KNR5M1920C1,5,23,26,N,N
265,ROB6VOW41E8O5,4,155,172,Y,N
266,R3PG4IGM0ROUMB,4,62,71,N,N
267,R2VL6YLXZC7KVT,4,276,306,N,N
268,R2FJGC4K2UQYWN,5,28,30,N,Y
269,R7013NB3CXXKY,1,18,21,N,Y
270,R2MO820GXBE8AC,3,19,20,N,Y
271,R2AV3OUCZVPQXE,5,26,36,N,N
272,R2FQNJL8VJVUN1,3,106,111,N,Y
273,RIJJHWMPDUWMF,5,37,40,N,N
274,R28PR9H0MTNMS0,5,18,23,N,Y
275,R1SW090BDKP1IX,5,21,22,N,Y
276,R7TUR3F4GMU23,5,45,50,N,Y
277,R29XBZTROJURR7,5,22,23,N,Y
278,R34S1KJ5W80YUT,5,100,123,N,N
279,R2VO4VWVQW3QM7,5,54,66,N,Y
280,RSEPZBWM3CXPE,5,207,248,N,Y
281,R3L1GZDJZGYKOQ,5,20,23,N,N
282,R3D13GS6MQG1WT,1,47,49,N,Y
283,R30LAYUB94CG6E,5,17,20,N,N
284,R1SY978HLSKR33,5,27,32,N,Y
285,R16VYFPG39UXFX,5,20,21,N,Y
286,R28D91PVJSW5WZ,4,23,23,N,Y
287,RFQZBSHM7GM7M,4,185,221,N,Y
288,R2LW1V6Z564IL,5,28,28,N,Y
289,R3O37XNNWYND7N,5,20,24,N,Y
290,R9Y8TLC9HN5VR,4,1982,2045,N,Y
291,R1L3LXCGVYAQ9I,5,24,26,N,N
292,R7LT2NJNSQS8A,1,49,63,N,Y
293,R20RHFMW7ZSDOY,5,24,24,N,Y
294,R1D0YKI9QC8QPD,5,26,27,N,N
295,R16VKH5QG2HH8,1,28,30,N,Y
296,R3C00Y0SY5DEAG,5,62,66,N,Y
297,R3H42KNIY02C0T,4,851,876,N,Y
298,R1WDZIXI1YJ3KE,4,159,166,N,Y
299,RJ5ECQXUKSGMV,5,27,29,N,Y
300,R303KPKJ13RSDI,4,38,40,N,Y
301,R2E7DAJ7TFLOYI,5,21,21,N,Y
302,R2CC138ZN1N5CU,5,37,42,N,N
303,R2YPGBRYIF7UEQ,4,34,37,N,Y
304,R1NXGXWS6FOCOI,1,20,28,N,Y
305,R126LNN43XA4SU,1,37,43,N,Y
306,RY0R67AOYWJ9S,5,34,36,N,Y
307,R1PKOREQECO18,5,203,214,N,N
308,R3OFKML845R4OQ,5,21,22,N,Y
309,R28ITJ61TTQ0A9,5,16,20,N,N
310,R3J6O7NBRSWTA3,5,29,33,N,Y
311,RGH3YA8DZMATO,5,94,99,N,Y
312,R20PNK6UHZONGK,1,14,20,N,Y
313,R3MAC9QJA0H7P9,1,76,81,N,N
314,R1QH2FO6X86OEC,5,101,113,N,Y
315,R8GCO49R2F0G0,4,84,87,N,Y
316,R2Z9IATYWZE2EY,1,33,38,N,N
317,R2REOQTXL2FJA7,5,35,39,N,Y
318,R2FVTFM1C051IG,1,17,20,N,N
319,R2L23N6KTPE59A,5,93,105,N,N
320,R13CPQERS6FS3B,4,41,45,N,Y
321,R28JS8QFJS4FIR,5,42,46,N,Y
322,R3A4T8KQKHEGKT,1,99,137,N,Y
323,R1PRKEA3R1SJX3,5,243,248,N,Y
324,R3E9OCRY2VNBMK,5,197,202,N,Y
325,RF1XBGFAP6TJP,5,22,27,N,N
326,R1SZDJPYRV1XCY,5,123,124,N,Y
327,R1ZLJHOI15CDO7,5,24,24,N,Y
328,R345Z88O1N0Y1,1,19,29,N,Y
329,RSHSC45BL8Z3E,5,1076,1142,N,Y
330,R8ZE5BC7JE3OW,1,48,50,N,Y
331,R3ASMXPEPYY28T,3,11,20,Y,N
332,RSGL11ZQBZTXR,5,24,24,N,Y
333,R2BB1VW2AVJDMS,5,24,29,N,Y
334,R16SZS5BR1BV92,5,75,93,N,Y
335,RJGPTRI3MP38R,5,20,23,N,N
336,R13Q6AZC06A8F0,1,16,32,N,N
337,R1B0N419IYARIN,5,38,44,N,N
338,R2B4A7AB8Z8UJ4,5,30,31,N,Y
339,RCV41TF3K44Q6,5,27,28,N,N
340,R14B0JELRYW981,1,95,119,N,Y
341,R3N3AC2TPJWKMA,5,94,97,N,N
342,R268PZ2FM3PVSH,5,24,27,N,Y
343,R39L6U19P22BUS,5,76,82,N,N
344,R1FRAKR9KXO2I7,5,25,25,N,Y
345,R1A7GXLKTBMHPC,5,143,148,N,Y
346,R1XXJQ0C3Y4SXM,3,22,23,N,Y
347,R7F8HSDV99Z9H,5,31,33,N,N
348,RHZVU3DM3G5Q2,2,24,33,N,Y
349,R24J90EQRGLP2G,5,271,294,N,Y
350,R39A7VK4Z825KQ,5,63,72,N,Y
351,R31CFZ6Q672YOF,4,53,62,N,Y
352,RQYAWHIUI6MO9,4,45,49,N,Y
353,RS16E70UC8I25,1,41,51,N,Y
354,R261IE5I8YEDBY,3,32,32,N,N
355,R2ENND5S53JFC9,3,22,23,N,Y
356,R2GVYK1G2D2PGD,5,33,43,N,N
357,RPRIXL8KZIEY,2,22,23,N,Y
358,R3SRIKGDH9AEAR,5,275,291,N,Y
359,RAI5IZSXL7RG9,1,21,24,N,Y
360,R2ATGBV5OFQ1VA,5,21,25,N,N
361,R2IMJIHSY69NZ8,2,16,21,N,N
362,RB8GSUBSCRK4V,1,17,24,N,Y
363,R32UUY5KJ1G5WE,5,23,28,N,N
364,R2Y32R4JD7NHR6,4,24,27,N,Y
365,R1PRVNVOLZPJRR,4,23,25,N,Y
366,R2A0YEZDW6T06X,2,22,24,N,Y
367,R1PSDADBJRKB7N,5,215,234,Y,N
368,R3WXGWSDZHIJB,5,368,378,N,Y
369,RHINAQHYJR672,4,32,34,N,Y
370,R2IMCNXCT25HYQ,5,76,84,N,Y
371,R3AQFFOJLMRRTV,1,34,39,N,Y
372,R34M0S1VG5UU65,5,20,22,N,Y
373,R4OXGDZCS8AVI,5,18,22,N,Y
374,R25VJ6TPEJN3HH,4,19,22,N,N
375,R34FSFP8O0RHGX,5,56,57,N,Y
376,R145B8CQQ8DATI,5,315,364,N,N
377,RDW4JNBYXR7WY,5,31,31,N,Y
378,R9R3ZGP8ZRD4H,5,89,92,N,Y
379,RJ7H2NARPW8KW,5,50,62,N,N
